tick,pc1,pc2
ACAD,-0.20899833629357056,-0.019518235374341854
ADMA,0.36798252921161134,-0.00620933065253148
ADVM,0.07365413169709231,-0.06206996476535277
AERI,0.016959894856726214,-0.004116762948875959
AFMD,0.22527561920196262,-0.07813150947878633
AGIO,-0.2215236150853252,-0.06220432206524287
AGLE,0.29022003044035216,0.044825003003480614
AIMT,-0.09058586188751132,-0.15882445963193165
AKBA,0.09066230485160838,-0.09098643924132693
ALKS,-0.13774479550568247,0.03195276961752004
ALNY,-0.24187716560966555,-0.09698659287628306
ALXN,-0.20646981990413496,0.24592234935954016
AMAG,0.015559067810930475,0.06700904285565425
AMGN,-0.22308434315469708,0.4481344335566848
AMPH,0.08582298054728552,0.151104534151293
AMRN,0.010181056822009482,-0.04610214851058407
AMRS,0.34315893776389106,0.08868462371840334
ANIP,0.14982235264948546,0.13339713563923922
ARDX,0.10654889450511582,-0.0681422526715337
ARNA,-0.0750189279881589,-0.09078086207851153
ARWR,-0.05305362403483581,-0.09166759054213454
ASMB,0.15082859344436947,-0.03539515573230942
ASND,-0.009153922249945625,0.07794252264298478
ATRA,-0.08907110920862209,-0.23264981262867876
AUPH,0.17353241950913773,-0.031119843864960726
AXSM,0.21129881601394768,-0.1249451174662694
BCRX,0.0369944945520773,-0.19159843134355847
BDSI,0.32418852725285763,0.07820286800666347
BGNE,0.07616767869746291,0.21226007133732633
BIIB,-0.19796842960441363,0.35893098997927886
BLUE,-0.25057883662534736,-0.10516588806287172
BMRN,-0.29568941958853384,0.09869762895144228
BPMC,-0.1613219474286923,-0.0019249426441226838
CARA,-0.02765810289892872,-0.060345344898455354
CBAY,0.1861507200539623,-0.059548155489812446
CBPO,0.08161772112874086,0.18347712889901702
CCXI,0.03555105882676874,-0.10221940663792131
CERS,0.10088298053503217,-0.04611129419854598
CGEN,0.16583837628332315,0.05434653175171154
CHMA,0.319240697096564,0.05089487616607961
CHRS,0.0492235365334466,-0.10134721746265839
CLLS,0.05661817390892235,0.06327499483464478
COLL,0.10315480771490275,-0.023226771069952395
CRBP,0.08863173960764259,0.02003417092325555
CTMX,0.04313302177278462,-0.06668909079450297
CYTK,-0.01656048637244828,0.015403447538601532
DRNA,-0.01619918727219152,-0.14932130755190273
EDIT,-0.1269037389961613,-0.1184886558709212
EGRX,-0.03484385884667483,0.01140121140425787
EIGR,0.20887862378210928,-0.04156901749149116
ENDP,0.2720292827074953,0.0732815021664611
ENTA,-0.049646880234244406,-0.17512122466773547
EPZM,-0.0664019799085072,-0.03509442007007163
ESPR,-0.13032919463247727,-0.010788206865818996
EXEL,-0.22925823591941877,-0.03093512996239384
EYPT,0.3254786051697459,0.0378136799846851
FATE,-0.02316984447867037,-0.06790232471362566
FGEN,-0.20322781210713725,-0.16723228594877787
FLXN,0.04977496113744311,-0.224608026157111
FOLD,-0.23970300633948552,-0.013159739390138023
GBT,-0.13210459907220912,-0.055150907712374964
GERN,0.07373879475787438,-0.02687952024546121
GILD,-0.14297114591652338,0.44646424556135056
GLPG,-0.08780363621077986,0.467574831941275
GLYC,0.07932685869714495,-0.07884356088325578
GMAB,0.10165235174161094,0.32340008380990304
GRFS,0.0027511817799220754,0.1424152043066526
GWPH,-0.023587816693297618,0.03062946199765996
HALO,-0.23067618158706898,-0.10885884662446357
