Label,Symbol,Name,Sector,Market Cap
0,ARDX,ARDELYX INC,Health Care,5388392.57
0,BDSI,BIODELIVERY SCIENCES INTERNATIONAL,Health Care,4285733.11
0,TXMD,THERAPEUTICSMD INC,Health Care,3246289.46
0,GERN,GERON CORP,Health Care,3189293.25
0,MNKD,MANNKIND CORP,Health Care,2877284.07
0,AFMD,AFFIMED NV,Health Care,2200752.0
1,ILMN,ILLUMINA INC,Health Care,383678094.52
1,TECH,BIO TECHNE CORP,Health Care,90416599.28
1,PRAH,PRA HEALTH SCIENCES INC,Health Care,58657479.11
1,BPMC,BLUEPRINT MEDICINES CORP,Health Care,36319078.1
1,FGEN,FIBROGEN INC,Health Care,29715735.0
1,GLPG,GALAPAGOS ADR REPRESENTING NV,Health Care,13601952.72
1,USD,USD CASH,Cash and/or Derivatives,5125899.34
1,SPY,,,
2,INCY,INCYTE CORP,Health Care,191758936.5
2,BMRN,BIOMARIN PHARMACEUTICAL INC,Health Care,182035837.44
2,ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,138088015.2
2,HZNP,HORIZON THERAPEUTICS PUBLIC PLC,Health Care,85111638.0
2,MYL,MYLAN NV,Health Care,81959431.8
2,IONS,IONIS PHARMACEUTICALS INC,Health Care,77431697.3
2,ACAD,ACADIA PHARMACEUTICALS INC,Health Care,68381146.48
2,JAZZ,JAZZ PHARMACEUTICALS PLC,Health Care,57801910.87
2,UTHR,UNITED THERAPEUTICS CORP,Health Care,49719529.3
2,RARE,ULTRAGENYX PHARMACEUTICAL INC,Health Care,37464432.44
2,AGIO,AGIOS PHARMACEUTICALS INC,Health Care,33791316.3
2,HALO,HALOZYME THERAPEUTICS INC,Health Care,30968184.46
2,FOLD,AMICUS THERAPEUTICS INC,Health Care,27449083.44
2,ALKS,ALKERMES,Health Care,24536936.14
2,ICPT,INTERCEPT PHARMACEUTICALS INC,Health Care,23465958.23
2,RTRX,RETROPHIN INC,Health Care,6108434.31
3,NKTR,NEKTAR THERAPEUTICS,Health Care,35026804.9
3,ARNA,ARENA PHARMACEUTICALS INC,Health Care,30146623.5
3,QURE,UNIQURE NV,Health Care,26323854.8
3,ADVM,ADVERUM BIOTECHNOLOGIES INC,Health Care,16395058.68
3,ZGNX,ZOGENIX INC,Health Care,15482852.5
3,DRNA,DICERNA PHARMACEUTICALS INC,Health Care,14145748.74
3,NSTG,NANOSTRING TECHNOLOGIES INC,Health Care,10226377.8
3,CGEN,COMPUGEN LTD,Health Care,9571577.73
3,ENTA,ENANTA PHARMACEUTICALS INC,Health Care,9336514.32
3,MYGN,MYRIAD GENETICS INC,Health Care,8944969.08
3,CERS,CERUS CORP,Health Care,8890644.0
3,ASMB,ASSEMBLY BIOSCIENCES INC,Health Care,6485346.34
3,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,Health Care,4690455.6
3,SPPI,SPECTRUM PHARMACEUTICALS INC,Health Care,3120191.56
3,GLYC,GLYCOMIMETICS INC,Health Care,1121872.59
4,CBPO,CHINA BIOLOGIC PRODUCTS HOLDINGS I,Health Care,40314207.52
4,PCRX,PACIRA BIOSCIENCES INC,Health Care,17396641.32
4,EPZM,EPIZYME INC,Health Care,16736058.35
4,TBPH,THERAVANCE BIOPHARMA INC,Health Care,15664746.24
4,AKBA,AKEBIA THERAPEUTICS INC,Health Care,14480624.34
4,PTLA,PORTOLA PHARMACEUTICALS INC,Health Care,13616298.54
4,INVA,INNOVIVA INC,Health Care,13020489.34
4,RVNC,REVANCE THERAPEUTICS INC,Health Care,11377117.92
