Label,Symbol,Name,Sector,Market Cap
0,EBAY,EBAY INC,Consumer Discretionary,30450625.08
0,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,24449320.44
0,CERN,CERNER CORP,Health Care,17615798.8
0,GRMN,GARMIN LTD,Consumer Discretionary,10990512.4
0,NLOK,NORTONLIFELOCK INC,Information Technology,9532857.6
0,DOX,AMDOCS LTD,Information Technology,7094200.02
0,FFIV,F5 NETWORKS INC,Information Technology,6956080.86
0,CIEN,CIENA CORP,Information Technology,6720627.83
0,CDK,CDK GLOBAL INC,Information Technology,4165899.84
0,LOGM,LOGMEIN INC,Information Technology,3450177.86
0,SAIC,SCIENCE APPLICATIONS INTERNATIONAL,Information Technology,3439266.48
0,DXC,DXC TECHNOLOGY,Information Technology,3146275.86
0,JCOM,J2 GLOBAL INC,Information Technology,2939846.4
0,ACIW,ACI WORLDWIDE INC,Information Technology,2478816.3
0,FEYE,FIREEYE INC,Information Technology,2211127.78
0,TDC,TERADATA CORP,Information Technology,1990169.86
0,ZG,ZILLOW GROUP INC CLASS A,Communication,1617036.96
0,CVLT,COMMVAULT SYSTEMS INC,Information Technology,1292116.52
1,INTC,INTEL CORPORATION CORP,Information Technology,215894721.9
1,TXN,TEXAS INSTRUMENT INC,Information Technology,96836424.76
1,MU,MICRON TECHNOLOGY INC,Information Technology,44643154.96
1,AMAT,APPLIED MATERIAL INC,Information Technology,42540695.04
1,LRCX,LAM RESEARCH CORP,Information Technology,34043264.91
1,KLAC,KLA CORP,Information Technology,23710334.58
1,TER,TERADYNE INC,Information Technology,9873888.02
1,MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,7092765.0
1,ENTG,ENTEGRIS INC,Information Technology,6518202.24
1,MKSI,MKS INSTRUMENTS INC,Information Technology,4651009.32
1,USD,USD CASH,Cash and/or Derivatives,3704677.48
2,WDAY,WORKDAY INC CLASS A,Information Technology,23676677.5
2,SPLK,SPLUNK INC,Information Technology,22312906.98
2,IAC,IAC INTERACTIVE,Communication,16294385.75
2,FTNT,FORTINET INC,Information Technology,15560474.52
2,TYL,TYLER TECHNOLOGIES INC,Information Technology,11415636.0
2,GDDY,GODADDY INC CLASS A,Information Technology,11084034.39
2,FICO,FAIR ISAAC CORP,Information Technology,9721777.59
2,BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Information Technology,9010723.4
2,ETSY,ETSY INC,Consumer Discretionary,7643084.4
2,GWRE,GUIDEWIRE SOFTWARE INC,Information Technology,6993202.02
2,AZPN,ASPEN TECHNOLOGY INC,Information Technology,5553476.75
2,RP,REALPAGE INC,Information Technology,4504818.78
2,PCTY,PAYLOCITY HOLDING CORP,Information Technology,3712418.52
2,NEWR,NEW RELIC INC,Information Technology,2805267.66
3,AVGO,BROADCOM INC,Information Technology,96869643.75
3,QCOM,QUALCOMM INC,Information Technology,79756993.24
3,ADI,ANALOG DEVICES INC,Information Technology,35392369.5
3,MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,19378419.75
3,XLNX,XILINX INC,Information Technology,18777825.78
3,MRVL,MARVELL TECHNOLOGY GROUP LTD,Information Technology,18493066.48
3,SWKS,SKYWORKS SOLUTIONS INC,Information Technology,17491459.22
3,MXIM,MAXIM INTEGRATED PRODUCTS INC,Information Technology,12848485.5
